census_tract,avg,std
17031071400,11.8236709421,49.5889863797
17031071500,10.3413302629,45.1502886069
17031080100,9.40652110199,62.2235800063
17031080201,9.53797938732,63.6855683935
17031080202,8.93030751411,56.508465898
17031080300,9.30619560582,45.039200989
17031081000,8.03071139419,52.7081484378
17031081100,8.05650806668,40.4512401245
17031081201,8.05239508277,44.0393059642
17031081202,8.64930029336,55.1436495697
17031081300,8.01762805136,36.0624091816
17031081401,7.60176550763,43.7684816819
17031081402,8.02546081411,59.0244073908
17031081403,7.17106112779,56.8562922507
17031081500,6.92460049145,43.3967800009
17031081600,6.65536148917,44.3904416553
17031081700,6.61656462597,48.9609752563
17031081800,6.97420426877,37.6005276141
17031243500,8.73812427403,36.2398510439
17031280100,6.45731259215,37.28264815
17031281900,6.54895147295,42.4988187115
17031320100,6.41687205545,43.8281434868
17031320400,6.24988688891,52.3922539484
17031320600,6.80447397235,43.3222312086
17031330100,8.85542241187,38.2631893406
17031833000,7.76287968967,40.9526173185
17031833100,7.7144083443,45.9983457585
17031838100,10.9343794869,53.5256552858
17031839000,6.3779413524,29.8824505196
17031839100,6.18340898946,44.5682232316
17031841000,10.0109247545,54.9884540447
17031841900,7.52582443019,43.9747816762
17031842200,10.0558867556,53.085551122
17031842300,8.69358077207,30.9026771103
17031980000,40.2713737913,51.3817575908
17031980100,28.9997031103,46.9892788536
